-1,업종명,업소명,주소,전화번호,위도,경도,웹페이지,가격대,메뉴,평점 ,별점1,,별점2,리뷰2,별점3,리뷰3,별점4,리뷰4,별점5,리뷰5
1,일반음식점,삼미투가리백숙, 청주시 흥덕구 예체로 157-1 (봉명동),043-264-6414,36.640393,127.468736,sammitogari.7x7.kr,40000,누룽지닭백숙,,,,,,,,,,,
2,일반음식점,흥부찜닭, 청주시 흥덕구 성봉로 291 (복대동),043-267-4821,36.631081,127.450952,http://hbzzim.com,21000,간장찜닭,,,,,,,,,,,
3,일반음식점,신토불이, 청주시 흥덕구 천석로 73 (봉명동),043-263-9497,36.6419889,127.4630098,https://www.siksinhot.com/P/899106,10000,삼겹살 갈비,,,,,,,,,,,
4,일반음식점,병천토종순대국밥수육국밥, 청주시 흥덕구 내수동로 39 (복대동 1층),043-231-7880,36.632824,127.451763,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EB%B3%91%EC%B2%9C%ED%86%A0%EC%A2%85%EC%88%9C%EB%8C%80%EA%B5%AD%EB%B0%A5%EC%88%98%EC%9C%A1%EA%B5%AD%EB%B0%A5&oquery=%ED%9D%A5%EB%B6%80%EC%B0%9C%EB%8B%AD&tqi=Uq%2FGfsp0Yihss7P8BklssssstLs-146738,8000,수육국밥,,,,,,,,,,,
5,일반음식점,후라이드참잘하는집(가경.복대점), 청주시 흥덕구 가경로 100-20  1층 (가경동),043-231-8292,36.624096,127.440941,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C%EC%B0%B8%EC%9E%98%ED%95%98%EB%8A%94%EC%A7%91%28%EA%B0%80%EA%B2%BD.%EB%B3%B5%EB%8C%80%EC%A0%90%29&oquery=%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C%EC%B0%B8%EC%9E%98%ED%95%98%EB%8A%94%EC%A7%91&tqi=Uq%2FHTwp0JywssKEM5oGssssssN4-254917,14000,치킨,,,,,,,,,,,
6,일반음식점,조개까는세상 본점, 청주시 흥덕구 월명로 37 (봉명동),043-263-2600,36.63797,127.453281,https://store.naver.com/restaurants/detail?id=1259416419,49000,조개구이,,,,,,,,,,,
7,일반음식점,봉평메밀막국수, 청주시 흥덕구 가경로161번길 23-4 (가경동 (1층)),043-235-4952,36.628419,127.435265,https://store.naver.com/restaurants/detail?id=1653088497,,막국수 냉면,,,,,,,,,,,
8,일반음식점,흥부네왕돈까스, 청주시 흥덕구 내수동로 63 (복대동 (1층)),043-265-1422,36.632794,127.454488,https://store.naver.com/restaurants/detail?entry=plt&id=13317590&query=%ED%9D%A5%EB%B6%80%EB%84%A4%EC%99%95%EB%8F%88%EA%B0%80%EC%8A%A4,8000,돈까스,,,,,,,,,,,
9,일반음식점,일미닭갈비파전, 청주시 흥덕구 충대로 14  2층 (복대동),043-268-3212,36.6327331,127.4475431,https://store.naver.com/restaurants/detail?id=1726201355,16000,닭갈비,,,,,,,,,,,
10,일반음식점,장군반점, 청주시 흥덕구 장구봉로137번길 3 (복대동 (1층)),043-275-7687,36.6248359,127.4462414,https://store.naver.com/restaurants/detail?id=17483014,5000,짜장면 짬봉,,,,,,,,,,,
